Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/event/world/ChunkPopulateEvent,true,12,79,true,0,NA,1
org/bukkit/event/world/StructureGrowEvent,true,62,438,true,0,NA,1
org/bukkit/event/world/WorldLoadEvent,true,12,79,true,0,NA,1
org/bukkit/event/world/ChunkUnloadEvent,true,26,146,true,0,NA,1
org/bukkit/event/world/ChunkLoadEvent,true,17,135,true,0,NA,1
org/bukkit/event/weather/LightningStrikeEvent,true,33,197,true,0,NA,1
org/bukkit/event/weather/WeatherChangeEvent,true,29,199,true,0,NA,1
org/bukkit/event/weather/ThunderChangeEvent,true,29,199,true,0,NA,1
org/bukkit/event/weather/WeatherEvent,true,9,68,true,0,NA,1
org/bukkit/event/vehicle/VehicleExitEvent,true,29,197,true,0,NA,1
org/bukkit/event/vehicle/VehicleBlockCollisionEvent,true,21,133,true,0,NA,1
org/bukkit/event/vehicle/VehicleDestroyEvent,true,29,197,true,0,NA,1
org/bukkit/event/vehicle/VehicleUpdateEvent,true,12,79,true,0,NA,1
org/bukkit/event/vehicle/VehicleDamageEvent,true,50,428,true,0,NA,1
org/bukkit/event/vehicle/VehicleEvent,true,6,68,true,0,NA,1
org/bukkit/event/vehicle/VehicleEnterEvent,true,29,197,true,0,NA,1
org/bukkit/event/vehicle/VehicleEntityCollisionEvent,true,66,328,true,0,NA,1
org/bukkit/event/vehicle/VehicleMoveEvent,true,28,187,true,0,NA,1
org/bukkit/event/vehicle/VehicleCollisionEvent,true,1,23,true,0,NA,1
org/bukkit/event/vehicle/VehicleCreateEvent,true,12,79,true,0,NA,1
org/bukkit/event/hanging/HangingBreakByEntityEvent,true,7,81,true,0,NA,1
org/bukkit/event/hanging/HangingBreakEvent,true,55,326,true,0,NA,1
org/bukkit/event/hanging/HangingEvent,true,6,68,true,0,NA,1
org/bukkit/event/hanging/HangingPlaceEvent,true,43,305,true,0,NA,1
org/bukkit/event/painting/PaintingBreakEvent,true,55,344,true,0,NA,1
org/bukkit/event/painting/PaintingBreakByEntityEvent,true,7,99,true,0,NA,1
org/bukkit/event/painting/PaintingEvent,true,6,86,true,0,NA,1
org/bukkit/event/painting/PaintingPlaceEvent,true,43,323,true,0,NA,1
org/bukkit/event/Cancellable,true,1,14,true,0,NA,1
org/bukkit/event/Event,true,38,270,true,0,true,1
org/bukkit/event/EventPriority,true,30,193,true,32,true,1
org/bukkit/event/inventory/InventoryEvent,true,29,194,true,0,NA,1
org/bukkit/event/inventory/FurnaceSmeltEvent,true,46,334,true,0,NA,1
org/bukkit/event/inventory/InventoryOpenEvent,true,29,188,true,0,NA,1
org/bukkit/event/inventory/FurnaceBurnEvent,true,44,423,true,0,NA,1
org/bukkit/event/inventory/InventoryClickEvent,true,133,1003,true,0,NA,1
org/bukkit/event/inventory/InventoryType,true,114,685,true,70,true,1
org/bukkit/event/inventory/InventoryPickupItemEvent,true,38,242,true,0,NA,1
org/bukkit/event/inventory/InventoryMoveItemEvent,true,55,482,true,0,NA,1
org/bukkit/event/inventory/InventoryDragEvent,true,55,714,true,0,NA,1
org/bukkit/event/inventory/PrepareItemCraftEvent,true,32,226,true,0,NA,1
org/bukkit/event/inventory/DragType,true,19,43,true,14,NA,1
org/bukkit/event/inventory/BrewEvent,true,34,197,true,0,NA,1
org/bukkit/event/inventory/CraftItemEvent,true,34,384,true,0,NA,1
org/bukkit/event/inventory/ClickType,true,63,588,true,58,NA,1
org/bukkit/event/inventory/FurnaceExtractEvent,true,24,196,true,0,NA,1
org/bukkit/event/inventory/InventoryCreativeEvent,true,18,135,true,0,NA,1
org/bukkit/event/inventory/InventoryAction,true,87,264,true,82,NA,1
