,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9854,Bukkit/eclipse/org/bukkit/block/ContainerBlock,True,0.0,10.0,True,0.0,,JADX-0.9.0,510.0
9855,Bukkit/eclipse/org/bukkit/block/Jukebox,True,2.0,27.0,True,0.0,,JADX-0.9.0,517.0
9856,Bukkit/eclipse/org/bukkit/block/Dropper,True,0.0,11.0,True,0.0,,JADX-0.9.0,515.0
9857,Bukkit/eclipse/org/bukkit/block/PistonMoveReaction,True,45.0,290.0,False,,,JADX-0.9.0,513.0
9858,Bukkit/eclipse/org/bukkit/block/CommandBlock,True,1.0,31.0,True,0.0,,JADX-0.9.0,507.0
9859,Bukkit/eclipse/org/bukkit/block/Chest,True,0.0,11.0,True,0.0,,JADX-0.9.0,514.0
9860,Bukkit/eclipse/org/bukkit/block/Dispenser,True,1.0,16.0,True,0.0,,JADX-0.9.0,524.0
9861,Bukkit/eclipse/org/bukkit/block/BrewingStand,True,1.0,25.0,True,0.0,,JADX-0.9.0,520.0
9862,Bukkit/eclipse/org/bukkit/block/Block,True,27.0,359.0,True,4.0,,JADX-0.9.0,518.0
9863,Bukkit/eclipse/org/bukkit/block/BlockFace,True,86.0,1647.0,False,,False,JADX-0.9.0,518.0
9864,Bukkit/eclipse/org/bukkit/block/CreatureSpawner,True,4.0,101.0,True,0.0,,JADX-0.9.0,511.0
9865,Bukkit/eclipse/org/bukkit/block/NoteBlock,True,2.0,83.0,True,0.0,,JADX-0.9.0,526.0
9866,Bukkit/eclipse/org/bukkit/block/Skull,True,3.0,50.0,True,0.0,,JADX-0.9.0,521.0
9867,Bukkit/eclipse/org/bukkit/block/Sign,True,1.0,39.0,True,0.0,,JADX-0.9.0,508.0
9868,Bukkit/eclipse/org/bukkit/block/BlockState,True,8.0,163.0,True,0.0,,JADX-0.9.0,516.0
9869,Bukkit/eclipse/org/bukkit/block/Furnace,True,2.0,39.0,True,0.0,,JADX-0.9.0,512.0
