Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
com/squareup/javawriter/JavaWriter,true,3062,12062,true,39,false,1
com/squareup/javawriter/StringLiteral,true,45,768,true,11,true,1
