Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/command/PluginCommandYamlParser,True,False,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/command/PluginIdentifiableCommand,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/RemoteConsoleCommandSender,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/SimpleCommandMap,True,False,True,False,False,True,True,False,True
Bukkit/eclipse/org/bukkit/command/TabCommandExecutor,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/TabCompleter,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/TabExecutor,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/AchievementCommand,True,False,True,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/BanCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/BanIpCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/BanListCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/BukkitCommand,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/ClearCommand,True,True,True,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/DefaultGameModeCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/DeopCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/DifficultyCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/EffectCommand,True,False,True,True,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/EnchantCommand,True,False,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/ExpCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/GameModeCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/GameRuleCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/GiveCommand,True,True,True,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/HelpCommand,True,False,False,True,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/KickCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/KillCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/ListCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/MeCommand,True,True,True,True,False,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/OpCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/PardonCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/PardonIpCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/PlaySoundCommand,True,False,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/PluginsCommand,True,True,True,True,False,True,True,False,True
Bukkit/eclipse/org/bukkit/command/defaults/ReloadCommand,True,True,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/command/defaults/SaveCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SaveOffCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SaveOnCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SayCommand,True,False,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/ScoreboardCommand,False,False,False,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SeedCommand,True,True,True,True,True,False,True,False,False
